Date,Open,High,Low,Close,Adj Close,Volume
2023-03-23,11.796991,11.796991,1.104477,1.331082,1.331082,2314949442
2023-03-24,1.325396,1.555872,1.186060,1.272492,1.272492,2537709581
2023-03-25,1.272393,1.307232,1.192970,1.224705,1.224705,1294894243
2023-03-26,1.224117,1.341853,1.208092,1.283315,1.283315,1059587959
2023-03-27,1.282521,1.320275,1.124495,1.162705,1.162705,1014240603
2023-03-28,1.162855,1.220483,1.120494,1.217757,1.217757,696636270
2023-03-29,1.217956,1.271805,1.201921,1.224161,1.224161,791191358
2023-03-30,1.224474,1.418585,1.224474,1.379040,1.379040,1860326377
2023-03-31,1.378509,1.434779,1.342586,1.394385,1.394385,1023537825
2023-04-01,1.393666,1.401182,1.269179,1.271434,1.271434,708114802
2023-04-02,1.294198,1.297125,1.141540,1.199810,1.199810,1060389104
2023-04-03,1.200559,1.224307,1.113402,1.155946,1.155946,910113344
2023-04-04,1.155965,1.262237,1.151284,1.235034,1.235034,741794294
2023-04-05,1.234910,1.284951,1.212959,1.243740,1.243740,681537437
2023-04-06,1.243624,1.244224,1.185614,1.213171,1.213171,389645869
2023-04-07,1.213181,1.242340,1.185641,1.197551,1.197551,331234273
2023-04-08,1.197363,1.208311,1.157278,1.163036,1.163036,238160037
2023-04-09,1.162782,1.193555,1.152510,1.183895,1.183895,250921874
2023-04-10,1.183846,1.247945,1.166000,1.242758,1.242758,391761283
2023-04-11,1.242849,1.252739,1.212962,1.217637,1.217637,329521306
2023-04-12,1.217775,1.218340,1.166148,1.200773,1.200773,344433781
2023-04-13,1.194302,1.371897,1.184227,1.365629,1.365629,1053950856
2023-04-14,1.366456,1.719496,1.366456,1.688148,1.688148,2927617181
2023-04-15,1.687867,1.733045,1.624707,1.648892,1.648892,1552620817
2023-04-16,1.649467,1.707532,1.597807,1.698545,1.698545,1105455426
2023-04-17,1.698828,1.698828,1.598109,1.612428,1.612428,881877178
2023-04-18,1.612795,1.801118,1.597628,1.673697,1.673697,1701258535
2023-04-19,1.672816,1.686518,1.469386,1.490376,1.490376,1454168810
2023-04-20,1.490160,1.535727,1.411529,1.440728,1.440728,1189420145
2023-04-21,1.440558,1.495072,1.418398,1.470284,1.470284,1115630340
2023-04-22,1.470375,1.496495,1.433673,1.464299,1.464299,743368253
2023-04-23,1.463775,1.463893,1.316034,1.339242,1.339242,624706911
2023-04-24,1.339198,1.361657,1.293739,1.338344,1.338344,645855049
2023-04-25,1.338297,1.381048,1.300433,1.379554,1.379554,636337759
2023-04-26,1.379177,1.494646,1.341212,1.384658,1.384658,1232822646
2023-04-27,1.384743,1.448856,1.382342,1.422934,1.422934,747265158
2023-04-28,1.423004,1.439165,1.369259,1.382446,1.382446,413908770
2023-04-29,1.382540,1.393086,1.354600,1.365903,1.365903,215575734
2023-04-30,1.366740,1.419852,1.351548,1.371707,1.371707,327616504
2023-05-01,1.371161,1.383208,1.298977,1.318910,1.318910,356398972
2023-05-02,1.318975,1.356153,1.311580,1.350401,1.350401,254784454
2023-05-03,1.350013,1.359688,1.302911,1.344042,1.344042,336691117
2023-05-04,1.343970,1.360331,1.313068,1.317679,1.317679,283495042
2023-05-05,1.317551,1.361784,1.304827,1.357065,1.357065,350364919
2023-05-06,1.357170,1.364895,1.226402,1.243541,1.243541,470538106
2023-05-07,1.243294,1.258806,1.226467,1.226693,1.226693,237878549
2023-05-08,1.226823,1.228053,1.058118,1.092929,1.092929,603038520
2023-05-09,1.093191,1.111882,1.082380,1.103319,1.103319,300098145
2023-05-10,1.103249,1.195619,1.101782,1.173501,1.173501,667566187
2023-05-11,1.173319,1.173319,1.064394,1.092019,1.092019,397695624
2023-05-12,1.091876,1.172463,1.069224,1.171849,1.171849,472491168
2023-05-13,1.171871,1.187200,1.147852,1.170841,1.170841,256825622
2023-05-14,1.170902,1.201176,1.149407,1.173244,1.173244,224712311
2023-05-15,1.173250,1.225836,1.154861,1.193273,1.193273,319983620
2023-05-16,1.193365,1.206251,1.168089,1.179161,1.179161,251756631
2023-05-17,1.179146,1.208115,1.140098,1.199596,1.199596,277650193
2023-05-18,1.199404,1.208645,1.144811,1.156481,1.156481,233804274
2023-05-19,1.156668,1.169580,1.146538,1.163200,1.163200,156591216
2023-05-20,1.163192,1.167717,1.154095,1.163021,1.163021,87251959
2023-05-21,1.163081,1.169456,1.121293,1.127568,1.127568,124693908
2023-05-22,1.127570,1.135910,1.112543,1.125706,1.125706,120836586
2023-05-23,1.125681,1.176350,1.121610,1.167015,1.167015,178954830
