	(1)	(2)	(3)
VARIABLES	P5	P25	P50
			
ΔGSV	0.000526	-7.21e-05	0.000229
	(0.000493)	(0.000216)	(0.000156)
Constant	0.0983***	0.109***	0.121***
	(0.00339)	(0.00490)	(0.00407)
			
Observations	1,300	5,339	9,815
Number of coin_id	5	25	50
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
